"dummy","dummy"
"Registration was successful. Excel is now linked to your store. The service is now being set up for the first use. This process can take some time. Once done, you will receive an email with further information.","Die Registrierung war erfolgreich. Excel ist nun mit Ihrem Shop verknüpft. Der Dienst wird jetzt für den ersten Start vorbereitet. Dieser Vorgang kann einige Minuten in Anspruch nehmen. Sie erhalten eine Mail mit weiteren Anweisungen, sobald der Service verfügbar ist."
".htaccess",".htaccess"
".htaccess user","Benutzer"
".htaccess password","Passwort"
"CobbyVersion","Version"
"General Settings","Allgemeine Einstellungen"
"License key","Lizenzschlüssel"
"The license key will be sent via email.","Sie erhalten den Lizenzschlüssel per Email."
"Contact Email","Kontakt E-Mail"
"All cobby notifications will be sent to the Contact Email.","Das ist die Kontakt E-Mail, an die alle Benachrichtigungen von cobby versandt werden."
"Notifictaions for rebuilt indexes, Errors, available cobby Updates and more will be sent to this Email. No Newsletter or commercials.","Index-Aktualisierungen, Fehlermeldungen, Update-Benachrichtigungen und weitere cobby relevante Mails werden an diese Adresse gesendet. Keine Newsletter oder Werbung."
"Choose Web Service User","Webservice Nutzer wählen"
"Use Existing","Existierenden Nutzer verwenden"
"Create New","Neuen Nutzer erstellen"
"Use an existing webservice user with ACL right for cobby or create a new user.","Nutzen Sie einen existierenden Webservice Nutzer mit dem Recht für cobby oder erstellen Sie einen neuen Nutzer."
"User Name","User Name"
"API Key","API Key"
"Only users with ACL for cobby will be shown.","Nur Nutzer mit der Berechtigung cobby werden angezeigt."
"Fill in the API key of the chosen user.","Geben Sie den API Key des gewählten Nutzers ein."
"The API Key is the password for this user.","Der API Key ist das Kennwort des ausgewählten Nutzers."
"User Email","User Email"
"It is not necessary to provide an existing Email. No Mails will be sent.","Es ist nicht wichtig eine existierende E-Mail zu verwenden. Es werden keine Mails versandt."
"Advanced","Erweitert"
"Overwrite Images","Bilder überschreiben"
"Overwrite existing images with same names to prevent creation of duplicates.","Bilder mit gleichen Namen überschreiben, um Duplikate zu verhindern."
"Clear Cache","Cache leeren"
"Clears external cache engines (e.g. Varnish) after product upload. Clears just affected entries. Takes longer especially with product links and many category associations.","Leert externe Cache Systeme wie z.B. Varnish, nachdem Produkte gespeichert wurden. Die Verarbeitug dauert deutlich länger, besonders unter Verwendung von Produktverknüpfungen oder bei vielen Kategoriezuordnungen."
"Enable logging to collect errors in <strong>Mash2_Cobby.log</strong>","Aktivieren Sie logging um Fehler in <strong>Mash2_Cobby.log</strong> zu protokollieren."
"Enable debug logging to also collect debug information in <strong>Mash2_Cobby.log</strong>","Aktivieren Sie debug logging, um auch Ausführungsdaten in <strong>Mash2_Cobby.log</strong> zu protokollieren."
"Click <a href=""%s"">here</a> to set up your account.","Hier klicken <a href=""%s"">here</a>,um cobby zu konfigurieren."
"cobby Index","cobby"
"cobby Sync Index","Index zur Kommunikation mit dem cobby Service"
"Edit Product Inventory","Produktinventar ändern"
"Yes","Ja"
"No","Nein"
"change how cobby handles the stock-attributes. Set disabled/readonly to disallow changes to stock from cobby","Wie soll cobby Lager-Attribute behandeln? Deaktiviert/schreibgeschützt blockiert das ändern von Beständen in cobby."
"what shall cobby transmit for quantity on product-creation?","Was soll bei Anlage neuer Produkte mit cobby als Lagerbestand übertragen werden? Nur Setzen wenn Lagerverwaltung auf  Deaktiviert/schreibgeschützt steht."
"what shall cobby transmit for Stock availability on product-creation?","Welche Verfügbarkeit soll bei der produktanlage mit cobby übertragen werden? Nur Setzen wenn Lagerverwaltung auf  Deaktiviert/schreibgeschützt steht."
"enabled","aktiviert"
"disabled","deaktiviert"
"readonly","schreibgeschützt"
"In Stock","Auf Lager"
"Out of Stock","Nicht auf Lager"
"Stock Management","Lagerverwaltung"
"Stock Settings","Lagereinstellungen"
"Default Quantity","Standardmenge"
"Default Stock Availability","Standard-Lagerverfügbarkeit"
"fixed constant to use for new products","feste Konstante zur Verwendung bei Produktneuanlage"